阿荣旗水岸名居B区,内蒙古自治区,呼伦贝尔市,阿荣旗,阿荣旗,阿荣旗
宝矿华联酒店,内蒙古自治区,呼伦贝尔市,宝矿,陈巴尔虎旗,宝矿
柴林佳园,内蒙古自治区,呼伦贝尔市,扎兰屯市,扎兰屯市,扎兰屯
陈旗法院,内蒙古自治区,呼伦贝尔市,陈巴尔虎旗,陈巴尔虎旗,陈旗
陈旗维丽斯大酒店,内蒙古自治区,呼伦贝尔市,陈巴尔虎旗,陈巴尔虎旗,陈旗
大雁福利院,内蒙古自治区,呼伦贝尔市,鄂温克旗,鄂温克族自治旗,大雁
东旗中安之家,内蒙古自治区,呼伦贝尔市,新巴尔虎左旗,新巴尔虎左旗,东旗
额尔古纳立领宾馆（王成）,内蒙古自治区,呼伦贝尔市,额尔古纳市,额尔古纳市,额尔古纳
额尔古纳市天驿宾馆,内蒙古自治区,呼伦贝尔市,额尔古纳市,额尔古纳市,额尔古纳市
额尔古纳云海小区,内蒙古自治区,呼伦贝尔市,额尔古纳市,额尔古纳市,额尔古纳
额尔古纳云杉宾馆,内蒙古自治区,呼伦贝尔市,额尔古纳市,额尔古纳市,额尔古纳
鄂温克旗公安局,内蒙古自治区,呼伦贝尔市,鄂温克旗,鄂温克族自治旗,鄂温克旗
鄂温克旗金领佳苑,内蒙古自治区,呼伦贝尔市,鄂温克旗,鄂温克族自治旗,鄂温克旗
鄂温克旗蒙医医院,内蒙古自治区,呼伦贝尔市,鄂温克旗,鄂温克族自治旗,鄂温克旗
鄂温克旗民族福利中心,内蒙古自治区,呼伦贝尔市,鄂温克旗,鄂温克族自治旗,鄂温克旗
鄂温克旗平安家园,内蒙古自治区,呼伦贝尔市,鄂温克旗,鄂温克族自治旗,鄂温克旗
鄂温克旗人民医院,内蒙古自治区,呼伦贝尔市,鄂温克旗,鄂温克族自治旗,鄂温克旗
鄂温克旗亚龙民生市场,内蒙古自治区,呼伦贝尔市,鄂温克旗,鄂温克族自治旗,鄂温克旗
根河客运站住宅楼,内蒙古自治区,呼伦贝尔市,根河市,根河市,根河市
海拉尔华德楼实验站,内蒙古自治区,呼伦贝尔市,海拉尔区,海拉尔区,海拉尔
海天新村小区,内蒙古自治区,呼伦贝尔市,鄂温克旗,鄂温克族自治旗,鄂温克旗
呼伦贝尔大学,内蒙古自治区,呼伦贝尔市,海拉尔区,海拉尔区,海拉尔
呼伦贝尔市社会福利院,内蒙古自治区,呼伦贝尔市,海拉尔区,海拉尔区,海拉尔
呼伦贝尔市中心城区公共租赁住房（老年公寓）,内蒙古自治区,呼伦贝尔市,海拉尔区,海拉尔区,海拉尔
呼伦贝尔烟草物流中心,内蒙古自治区,呼伦贝尔市,海拉尔区,海拉尔区,海拉尔
华汇购物广场,内蒙古自治区,呼伦贝尔市,海拉尔区,海拉尔区,海拉尔中央大街
金碧辉煌2部,内蒙古自治区,呼伦贝尔市,海拉尔区,海拉尔区,海拉尔健康街
瑞丰花园（顺意房地产）,内蒙古自治区,呼伦贝尔市,扎兰屯市,扎兰屯市,扎兰屯
山水嘉园,内蒙古自治区,呼伦贝尔市,扎兰屯市,扎兰屯市,扎兰屯
四季悦庭,内蒙古自治区,呼伦贝尔市,海拉尔区,海拉尔区,海拉尔
文苑小区商住综合楼,内蒙古自治区,呼伦贝尔市,海拉尔区,海拉尔区,海拉尔
新巴尔虎左旗交警大队住宅楼二期工程,内蒙古自治区,呼伦贝尔市,新巴尔虎左旗,新巴尔虎左旗,东旗
牙克石皇骐房地产开发有限公司（林海家园）,内蒙古自治区,呼伦贝尔市,牙克石市,牙克石市,牙克石林海家园
牙克石民政局,内蒙古自治区,呼伦贝尔市,牙克石市,牙克石市,牙克石
牙克石医保局,内蒙古自治区,呼伦贝尔市,牙克石市,牙克石市,牙克石
伊敏河镇金茂祥商务酒店,内蒙古自治区,呼伦贝尔市,鄂温克族自治旗,鄂温克族自治旗,伊敏
远山红郡1,内蒙古自治区,呼伦贝尔市,海拉尔区,海拉尔区,海拉尔东山（北部）组团杏林路西侧、规划二街南侧
扎兰屯滨河水岸三期,内蒙古自治区,呼伦贝尔市,扎兰屯市,扎兰屯市,扎兰屯市
扎兰屯华林商场,内蒙古自治区,呼伦贝尔市,扎兰屯市,扎兰屯市,扎兰屯
扎兰屯京城商场,内蒙古自治区,呼伦贝尔市,扎兰屯市,扎兰屯市,扎兰屯
扎兰屯七星水悦洗浴歌厅,内蒙古自治区,呼伦贝尔市,扎兰屯市,扎兰屯市,盛和水荟洗浴宾馆
扎兰屯瑞琪口腔门诊,内蒙古自治区,呼伦贝尔市,扎兰屯市,扎兰屯市,扎兰屯市
扎兰屯师院宾馆（幼儿师范学院）,内蒙古自治区,呼伦贝尔市,扎兰屯市,扎兰屯市,扎兰屯
扎兰屯市老干部活动中心,内蒙古自治区,呼伦贝尔市,扎兰屯市,扎兰屯市,扎兰屯市
扎兰屯市委党校,内蒙古自治区,呼伦贝尔市,扎兰屯市,扎兰屯市,扎兰屯
扎兰屯市秀水怡园小区,内蒙古自治区,呼伦贝尔市,扎兰屯市,扎兰屯市,扎兰屯市
扎兰屯市雅鲁帝景,内蒙古自治区,呼伦贝尔市,扎兰屯市,扎兰屯市,扎兰屯
扎兰屯市职工之家综合楼,内蒙古自治区,呼伦贝尔市,扎兰屯市,扎兰屯市,扎兰屯
扎兰屯首创房地产（滨河水岸）,内蒙古自治区,呼伦贝尔市,扎兰屯市,扎兰屯市,扎兰屯
扎兰屯特殊教育学校,内蒙古自治区,呼伦贝尔市,扎兰屯市,扎兰屯市,扎兰屯
扎兰屯怡园宾馆,内蒙古自治区,呼伦贝尔市,扎兰屯市,扎兰屯市,扎兰屯市
扎兰屯幼儿师范学院,内蒙古自治区,呼伦贝尔市,扎兰屯市,扎兰屯市,扎兰屯
扎兰屯职业学校（卫校）,内蒙古自治区,呼伦贝尔市,扎兰屯市,扎兰屯市,扎兰屯职业学院（雅鲁校区）
