['格莱利', '', None, '其它', b'41704404002015040001', '', '', None, '', 'qzj', '曳引驱动', None, None, None, None, None, '2017-4-1', '斗门龙山工业区', '', '', '']
['金联精工', '1#', None, '乘客电梯', b'30134404002000010009', '', '', None, '', 'TLJ2000/0.5-JXPC', '曳引驱动', None, None, None, None, None, '2018-1-1', '三灶金湾大道中段', '', '', '']
['捷达电力', '', None, '乘客电梯', b'31104404002016010095', '', '', None, '', 'OLKJ800/1.5-JX.VF', '曳引驱动', None, None, None, None, None, '2016-12-17', '斗门区白藤二、三路之间', '', '', '']
['捷达电力', '', None, '乘客电梯', b'31104404002016010094', '', '', None, '', 'OLKJ800/1.5-JX.VF', '曳引驱动', None, None, None, None, None, '2016-12-17', '斗门区白藤二、三路之间', '', '', '']
['银城大厦', '', 189689208829382656, '乘客电梯', b'31104404002016020028', '', '', None, '', 'G.Wiz', '曳引驱动', None, None, None, None, None, '2017-12-1', '吉大银城大厦', '', '', '']
['香洲玻璃钢般厂', '', None, '其它', b'40204404002005060001', '', '', None, '', 'qzj', '曳引驱动', None, None, None, None, None, '2016-4-24', '珠海市香洲区', '', '', '']
['安奈摩擦', '', None, '其它', b'41704404002013040010', '', '', None, '', 'qzj', '曳引驱动', None, None, None, None, None, '2016-4-24', '珠海市斗门区斗门镇斗门大道108号二楼', '', '', '']
['格莱利', '', None, '其它', b'41704404002013040011', '', '', None, '', 'qzj', '曳引驱动', None, None, None, None, None, '2016-4-24', '斗门龙山工业区', '', '', '']
['曼哈顿', '01#', 1530, '乘客电梯', b'31104404002012090074', '', '', None, '', 'NEXWAY-S', '曳引驱动', None, None, None, None, None, '2017-8-1', '金湾区红旗镇御都国际大酒店', '', '', '']
['曼哈顿', '4#', 1530, '乘客电梯', b'31104404002012090073', '', '', None, '', 'NEXWAY-S', '曳引驱动', None, None, None, None, None, '2017-8-1', '金湾区红旗镇御都国际大酒店', '', '', '']
['曼哈顿', '3#', 1530, '乘客电梯', b'31104404002012090072', '', '', None, '', 'NEXWAY-S', '曳引驱动', None, None, None, None, None, '2017-8-1', '金湾区红旗镇御都国际大酒店', '', '', '']
['曼哈顿', '02#', 1530, '乘客电梯', b'31104404002012090071', '', '', None, '', 'NEXWAY-S', '曳引驱动', None, None, None, None, None, '2017-8-1', '金湾区红旗镇御都国际大酒店', '', '', '']
['曼哈顿', '6#', 1530, '乘客电梯', b'31304404002012090007', '', '', None, '', 'ELENESSA', '曳引驱动', None, None, None, None, None, '2017-9-1', '金湾区红旗镇御都国际大酒店', '', '', '']
['曼哈顿', '05#', 1530, '乘客电梯', b'31304404002012090006', '', '', None, '', 'ELENESSA', '曳引驱动', None, None, None, None, None, '2017-9-1', '金湾区红旗镇御都国际大酒店', '', '', '']
['苏建成', '', None, '乘客电梯', b'31304404002012050006', '', '', None, '', 'SCKT400/0.1-JXWF-WJF', '曳引驱动', None, None, None, None, None, '2017-12-1', '香宁一街5号', '', '', '']
['恒美花园', '1#', 97, '乘客电梯', b'31304404002009010090', '', '', None, '', 'M1000W15S-C0', '曳引驱动', None, None, None, None, None, '2018-5-8', '斗门区恒美花园1#商业综合楼', '', '', '']
['沙石土', '1#', None, '乘客电梯', b'31104404002013040031', '', '', None, '', 'OLKJ1050/1.5-JX.VF(旧：G.Wiz1050-C01.5', '曳引驱动', None, None, None, None, None, '2017-9-1', '梅华东路302号', '', '', '']
['沙石土', '1#', None, '乘客电梯', b'30104404001995010002', '', '', None, '', 'YP-15-C060', '曳引驱动', None, None, None, None, None, '2017-9-1', '梅华东路302号', '', '', '']
['莲花路门诊部', '1#', None, '乘客电梯', b'31704404002009100039', '', '', None, '', 'MRGL-B', '曳引驱动', None, None, None, None, None, '2018-3-1', '拱北莲花路第二人民医院门诊部', '', '', '']
['横琴银鑫花园', '4栋2#', None, '乘客电梯', b'30104404002003070039', '', '', None, '', 'GPS-CR', '曳引驱动', None, None, None, None, None, '2018-5-16', '横琴天河街银鑫花园', '', '', '']
['横琴银鑫花园', '4栋1#', None, '乘客电梯', b'30104404002003070038', '', '', None, '', 'GPS-CR', '曳引驱动', None, None, None, None, None, '2018-5-16', '横琴天河街银鑫花园', '', '', '']
['横琴银鑫花园', '3栋1单元', None, '乘客电梯', b'30104404002003070037', '', '', None, '', 'GPS-CR', '曳引驱动', None, None, None, None, None, '2018-5-16', '横琴天河街银鑫花园', '', '', '']
['横琴银鑫花园', '1#', None, '乘客电梯', b'30104404002003070036', '', '', None, '', 'GPS-CR', '曳引驱动', None, None, None, None, None, '2018-5-16', '横琴天河街银鑫花园', '', '', '']
