龙城一号,,三菱,乘客电梯,31Q00049,,上海三菱电有限公司,2010-08-01,1008002564,,曳引驱动,6,6,6,1050,,2017-04-22,四川省达州市宣汉县龙城1号(金鼓广场西北200米),,,
龙城一号,,,,31Q00050,,,,,,,,,,,,,四川省达州市宣汉县龙城1号(金鼓广场西北200米),,,
龙城一号,,,,31Q00051,,,,,,,,,,,,,四川省达州市宣汉县龙城1号(金鼓广场西北200米),,,
龙城一号,,,,31Q00052,,,,,,,,,,,,,四川省达州市宣汉县龙城1号(金鼓广场西北200米),,,
龙城一号,,,,31Q00053,,,,,,,,,,,,,四川省达州市宣汉县龙城1号(金鼓广场西北200米),,,
龙城一号,,,,31Q00054,,,,,,,,,,,,,四川省达州市宣汉县龙城1号(金鼓广场西北200米),,,
龙城一号,,,,31Q00055,,,,,,,,,,,,,四川省达州市宣汉县龙城1号(金鼓广场西北200米),,,
龙城一号,,,,31Q00056,,,,,,,,,,,,,四川省达州市宣汉县龙城1号(金鼓广场西北200米),,,
龙城一号,,,,31Q00057,,,,,,,,,,,,,四川省达州市宣汉县龙城1号(金鼓广场西北200米),,,
龙城一号,,,,31Q00058,,,,,,,,,,,,,四川省达州市宣汉县龙城1号(金鼓广场西北200米),,,
龙城一号,,,,31Q00059,,,,,,,,,,,,,四川省达州市宣汉县龙城1号(金鼓广场西北200米),,,
中科医院,,,,31105117022012070017,,,,,,,,,,,,,通川区朝阳西路665号,,,
中科医院,,,,31105117022012070018,,,,,,,,,,,,,通川区朝阳西路665号,,,
